Página,Valor(es) hreflang página,URL hreflang
https://www.caldea.com/,N/D,https://www.caldea.com/
https://www.caldea.com/ca/,en,https://www.caldea.com/en/
https://www.caldea.com/ca/,N/D,https://www.caldea.com/
https://www.caldea.com/ca/,ca,https://www.caldea.com/ca/
https://www.caldea.com/ca/,fr,https://www.caldea.com/fr/
https://www.caldea.com/ca/aigues-termals,en,https://www.caldea.com/en/thermal-water
https://www.caldea.com/ca/andorra,en,https://www.caldea.com/en/andorra
https://www.caldea.com/ca/avis-legal,en,https://www.caldea.com/en/terms-conditions
https://www.caldea.com/ca/borsa-treball,en,https://www.caldea.com/en/job-vacancies
https://www.caldea.com/ca/botiga-caldea,en,https://www.caldea.com/en/caldea-shop
https://www.caldea.com/ca/carta-restaurant,N/D,https://www.caldea.com/fr/menu-restaurant?language=ok
https://www.caldea.com/ca/carta-restaurant,N/D,https://www.caldea.com/ca/carta-restaurant?language=ok
https://www.caldea.com/ca/carta-restaurant,N/D,https://www.caldea.com/en/restaurant-menu?language=ok
https://www.caldea.com/ca/carta-restaurant?language=ok,N/D,https://www.caldea.com/fr/menu-restaurant?language=ok
https://www.caldea.com/ca/carta-restaurant?language=ok,N/D,https://www.caldea.com/ca/carta-restaurant?language=ok
https://www.caldea.com/ca/carta-restaurant?language=ok,N/D,https://www.caldea.com/en/restaurant-menu?language=ok
https://www.caldea.com/ca/com-arribar,en,https://www.caldea.com/en/how-to-get-there
https://www.caldea.com/ca/condicions-reserva,en,https://www.caldea.com/en/sales-conditions
https://www.caldea.com/ca/contacta,en,https://www.caldea.com/en/contact-form
https://www.caldea.com/ca/contactar,en,https://www.caldea.com/en/contact-us
https://www.caldea.com/ca/descomptes,en,https://www.caldea.com/en/discounts
https://www.caldea.com/ca/entrades,en,https://www.caldea.com/en/entries
https://www.caldea.com/ca/faq-caldea,en,https://www.caldea.com/en/faq-caldea
https://www.caldea.com/ca/horaris,en,https://www.caldea.com/en/timetable
