Página,Texto Ancla,URL del enlace,Código estado HTTP
https://www.caldea.com/,facebook,https://www.facebook.com/Caldea,400 Solicitud erronea
https://www.caldea.com/,,https://www.tripadvisor.com/Attraction_Review-g190401-d207706-Reviews-Caldea_Thermal_Spa-Escaldes_Engordany_Escaldes_Engordany_Parish.html,403 Prohibido
https://www.caldea.com/EN/,facebook,https://www.facebook.com/Caldea,400 Solicitud erronea
https://www.caldea.com/EN/,,https://www.tripadvisor.com/Attraction_Review-g190401-d207706-Reviews-Caldea_Thermal_Spa-Escaldes_Engordany_Escaldes_Engordany_Parish.html,403 Prohibido
https://www.caldea.com/abonos,facebook,https://www.facebook.com/Caldea,400 Solicitud erronea
https://www.caldea.com/abonos,,https://www.tripadvisor.com/Attraction_Review-g190401-d207706-Reviews-Caldea_Thermal_Spa-Escaldes_Engordany_Escaldes_Engordany_Parish.html,403 Prohibido
https://www.caldea.com/acciones-responsabilidad-social-corporativa,aquí,http://www.caldea.com/userfiles//Certificat_9_23272022012714 220823132727.pdf,403 Prohibido
https://www.caldea.com/acciones-responsabilidad-social-corporativa,facebook,https://www.facebook.com/Caldea,400 Solicitud erronea
https://www.caldea.com/acciones-responsabilidad-social-corporativa,,https://www.tripadvisor.com/Attraction_Review-g190401-d207706-Reviews-Caldea_Thermal_Spa-Escaldes_Engordany_Escaldes_Engordany_Parish.html,403 Prohibido
https://www.caldea.com/aguas-termales,facebook,https://www.facebook.com/Caldea,400 Solicitud erronea
https://www.caldea.com/aguas-termales,,https://www.tripadvisor.com/Attraction_Review-g190401-d207706-Reviews-Caldea_Thermal_Spa-Escaldes_Engordany_Escaldes_Engordany_Parish.html,403 Prohibido
https://www.caldea.com/amigos,facebook,https://www.facebook.com/Caldea,400 Solicitud erronea
https://www.caldea.com/amigos,,https://www.tripadvisor.com/Attraction_Review-g190401-d207706-Reviews-Caldea_Thermal_Spa-Escaldes_Engordany_Escaldes_Engordany_Parish.html,403 Prohibido
https://www.caldea.com/andorra,facebook,https://www.facebook.com/Caldea,400 Solicitud erronea
https://www.caldea.com/andorra,,https://www.tripadvisor.com/Attraction_Review-g190401-d207706-Reviews-Caldea_Thermal_Spa-Escaldes_Engordany_Escaldes_Engordany_Parish.html,403 Prohibido
https://www.caldea.com/asistente-cocina,facebook,https://www.facebook.com/Caldea,400 Solicitud erronea
https://www.caldea.com/asistente-cocina,,https://www.tripadvisor.com/Attraction_Review-g190401-d207706-Reviews-Caldea_Thermal_Spa-Escaldes_Engordany_Escaldes_Engordany_Parish.html,403 Prohibido
https://www.caldea.com/aviso-legal,facebook,https://www.facebook.com/Caldea,400 Solicitud erronea
https://www.caldea.com/aviso-legal,,https://www.tripadvisor.com/Attraction_Review-g190401-d207706-Reviews-Caldea_Thermal_Spa-Escaldes_Engordany_Escaldes_Engordany_Parish.html,403 Prohibido
https://www.caldea.com/bases-legales-concursos,[email protected],https://www.caldea.com/cdn-cgi/l/email-protection,404 No encontrado
https://www.caldea.com/bases-legales-concursos,https://www.facebook.com/Caldea,https://www.facebook.com/Caldea,400 Solicitud erronea
https://www.caldea.com/bases-legales-concursos,[email protected],https://www.caldea.com/cdn-cgi/l/email-protection,404 No encontrado
https://www.caldea.com/bases-legales-concursos,[email protected],https://www.caldea.com/cdn-cgi/l/email-protection,404 No encontrado
https://www.caldea.com/bases-legales-concursos,facebook,https://www.facebook.com/Caldea,400 Solicitud erronea
https://www.caldea.com/bases-legales-concursos,,https://www.tripadvisor.com/Attraction_Review-g190401-d207706-Reviews-Caldea_Thermal_Spa-Escaldes_Engordany_Escaldes_Engordany_Parish.html,403 Prohibido
https://www.caldea.com/belleza-by-natura-bisse/facial,facebook,https://www.facebook.com/Caldea,400 Solicitud erronea
https://www.caldea.com/belleza-by-natura-bisse/facial,,https://www.tripadvisor.com/Attraction_Review-g190401-d207706-Reviews-Caldea_Thermal_Spa-Escaldes_Engordany_Escaldes_Engordany_Parish.html,403 Prohibido
https://www.caldea.com/belleza-by-sothys,facebook,https://www.facebook.com/Caldea,400 Solicitud erronea
https://www.caldea.com/belleza-by-sothys,,https://www.tripadvisor.com/Attraction_Review-g190401-d207706-Reviews-Caldea_Thermal_Spa-Escaldes_Engordany_Escaldes_Engordany_Parish.html,403 Prohibido
https://www.caldea.com/belleza-by-sothys/corporal,facebook,https://www.facebook.com/Caldea,400 Solicitud erronea
https://www.caldea.com/belleza-by-sothys/corporal,,https://www.tripadvisor.com/Attraction_Review-g190401-d207706-Reviews-Caldea_Thermal_Spa-Escaldes_Engordany_Escaldes_Engordany_Parish.html,403 Prohibido
https://www.caldea.com/belleza-by-sothys/facial,facebook,https://www.facebook.com/Caldea,400 Solicitud erronea
https://www.caldea.com/belleza-by-sothys/facial,,https://www.tripadvisor.com/Attraction_Review-g190401-d207706-Reviews-Caldea_Thermal_Spa-Escaldes_Engordany_Escaldes_Engordany_Parish.html,403 Prohibido
https://www.caldea.com/blackfriday-entradas,facebook,https://www.facebook.com/Caldea,400 Solicitud erronea
https://www.caldea.com/blackfriday-entradas,,https://www.tripadvisor.com/Attraction_Review-g190401-d207706-Reviews-Caldea_Thermal_Spa-Escaldes_Engordany_Escaldes_Engordany_Parish.html,403 Prohibido
https://www.caldea.com/blog/,,https://www.facebook.com/Caldea,400 Solicitud erronea
https://www.caldea.com/blog/,,https://www.tripadvisor.com/Attraction_Review-g190401-d207706-Reviews-Caldea_Thermal_Spa-Escaldes_Engordany_Escaldes_Engordany_Parish.html,403 Prohibido
https://www.caldea.com/blog/,facebook,https://www.facebook.com/Caldea,400 Solicitud erronea
https://www.caldea.com/blog/,,https://www.tripadvisor.com/Attraction_Review-g190401-d207706-Reviews-Caldea_Thermal_Spa-Escaldes_Engordany_Escaldes_Engordany_Parish.html,403 Prohibido
https://www.caldea.com/blog/10-raisons-de-choisir-landorre-pour-vos-vacances/?lang=fr,,https://www.facebook.com/Caldea,400 Solicitud erronea
https://www.caldea.com/blog/10-raisons-de-choisir-landorre-pour-vos-vacances/?lang=fr,,https://www.tripadvisor.com/Attraction_Review-g190401-d207706-Reviews-Caldea_Thermal_Spa-Escaldes_Engordany_Escaldes_Engordany_Parish.html,403 Prohibido
https://www.caldea.com/blog/10-raisons-de-choisir-landorre-pour-vos-vacances/?lang=fr,Que faire en Andorre,https://beta.caldea.com/fr/quoi-faire-andorre,403 Prohibido
https://www.caldea.com/blog/10-raisons-de-choisir-landorre-pour-vos-vacances/?lang=fr,facebook,https://www.facebook.com/Caldea,400 Solicitud erronea
https://www.caldea.com/blog/10-raisons-de-choisir-landorre-pour-vos-vacances/?lang=fr,,https://www.tripadvisor.com/Attraction_Review-g190401-d207706-Reviews-Caldea_Thermal_Spa-Escaldes_Engordany_Escaldes_Engordany_Parish.html,403 Prohibido
https://www.caldea.com/blog/10-raons-per-triar-andorra-per-venir-de-vacances/?lang=ca,,https://www.facebook.com/Caldea,400 Solicitud erronea
https://www.caldea.com/blog/10-raons-per-triar-andorra-per-venir-de-vacances/?lang=ca,,https://www.tripadvisor.com/Attraction_Review-g190401-d207706-Reviews-Caldea_Thermal_Spa-Escaldes_Engordany_Escaldes_Engordany_Parish.html,403 Prohibido
https://www.caldea.com/blog/10-raons-per-triar-andorra-per-venir-de-vacances/?lang=ca,Què fer a Andorra?,http://www.caldea.com/ca/que-fer-andorra,403 Prohibido
https://www.caldea.com/blog/10-raons-per-triar-andorra-per-venir-de-vacances/?lang=ca,facebook,https://www.facebook.com/Caldea,400 Solicitud erronea
https://www.caldea.com/blog/10-raons-per-triar-andorra-per-venir-de-vacances/?lang=ca,,https://www.tripadvisor.com/Attraction_Review-g190401-d207706-Reviews-Caldea_Thermal_Spa-Escaldes_Engordany_Escaldes_Engordany_Parish.html,403 Prohibido
