Página,URL imagen,Etiqueta imagen,Código de estado HTTP,Texto alt
https://www.caldea.com/blog/targeta-regal/?lang=ca,https://dzhi65wojqlkc.cloudfront.net/blog/wp-content/uploads/2019/04/caldea-regala-1.jpg,"<img fetchpriority=""high"" decoding=""async"" class=""aligncenter size-full wp-image-4495"" src=""https://dzhi65wojqlkc.cloudfront.net/blog/wp-content/uploads/2019/04/caldea-regala-1.jpg"" alt="""" width=""1200"" height=""801"">",403 Prohibido,
https://www.caldea.com/ca/condicions-especials-disversitat-funcional,https://www.caldea.com/ca/condicions-especials-disversitat-funcional,"<img src="""">",200 Correcto,
https://www.caldea.com/ca/condicions-especials-disversitat-funcional,https://www.caldea.com/ca/condicions-especials-disversitat-funcional,"<img src="""">",200 Correcto,
https://www.caldea.com/ca/condicions-especials-disversitat-funcional,https://www.caldea.com/ca/condicions-especials-disversitat-funcional,"<img src="""">",200 Correcto,
https://www.caldea.com/ca/condicions-especials-disversitat-funcional,https://www.caldea.com/ca/condicions-especials-disversitat-funcional,"<img src="""">",200 Correcto,
https://www.caldea.com/ca/condicions-especials-disversitat-funcional,https://www.caldea.com/ca/condicions-especials-disversitat-funcional,"<img src="""">",200 Correcto,
https://www.caldea.com/ca/condicions-especials-disversitat-funcional,https://www.caldea.com/ca/condicions-especials-disversitat-funcional,"<img src="""">",200 Correcto,
https://www.caldea.com/ca/condicions-especials-disversitat-funcional,https://www.caldea.com/ca/condicions-especials-disversitat-funcional,"<img src="""">",200 Correcto,
https://www.caldea.com/ca/premium-espectacles,https://www.caldea.com/userfiles/images/950x537-Champagne-Sessions-video-caratula.jpg,"<img src=""https://www.caldea.com/userfiles/images/950x537-Champagne-Sessions-video-caratula.jpg"" alt=""video-thump2.jpg"">",404 No encontrado,video-thump2.jpg
https://www.caldea.com/ca/regala-experiencies,https://www.caldea.com/ca/regala-experiencies,"<img src="""">",200 Correcto,
https://www.caldea.com/ca/regala-experiencies,https://www.caldea.com/ca/regala-experiencies,"<img src="""">",200 Correcto,
https://www.caldea.com/ca/regala-experiencies,https://www.caldea.com/ca/regala-experiencies,"<img src="""">",200 Correcto,
https://www.caldea.com/ca/regala-experiencies,https://www.caldea.com/ca/regala-experiencies,"<img src="""">",200 Correcto,
https://www.caldea.com/ca/regala-experiencies,https://www.caldea.com/ca/regala-experiencies,"<img src="""">",200 Correcto,
https://www.caldea.com/ca/regala-experiencies,https://www.caldea.com/ca/regala-experiencies,"<img src="""">",200 Correcto,
https://www.caldea.com/ca/residents-entrades,https://www.caldea.com/ca/residents-entrades,"<img src="""">",200 Correcto,
https://www.caldea.com/ca/residents-entrades,https://www.caldea.com/ca/residents-entrades,"<img src="""">",200 Correcto,
https://www.caldea.com/ca/residents-entrades,https://www.caldea.com/ca/residents-entrades,"<img src="""">",200 Correcto,
https://www.caldea.com/ca/residents-entrades,https://www.caldea.com/ca/residents-entrades,"<img src="""">",200 Correcto,
https://www.caldea.com/ca/residents-entrades,https://www.caldea.com/ca/residents-entrades,"<img src="""">",200 Correcto,
https://www.caldea.com/ca/residents-entrades,https://www.caldea.com/ca/residents-entrades,"<img src="""">",200 Correcto,
https://www.caldea.com/ca/residents-entrades?inuu=Y,https://www.caldea.com/ca/residents-entrades?inuu=Y,"<img src="""">",200 Correcto,
https://www.caldea.com/caldea-carne-joven,https://www.caldea.com/horarios-caldea,"<img src=""https://www.caldea.com/horarios-caldea"" alt="""">",200 Correcto,
https://www.caldea.com/condiciones-especiales-discapacidad,https://www.caldea.com/condiciones-especiales-discapacidad,"<img src="""">",200 Correcto,
https://www.caldea.com/condiciones-especiales-discapacidad,https://www.caldea.com/condiciones-especiales-discapacidad,"<img src="""">",200 Correcto,
https://www.caldea.com/condiciones-especiales-discapacidad,https://www.caldea.com/condiciones-especiales-discapacidad,"<img src="""">",200 Correcto,
https://www.caldea.com/condiciones-especiales-discapacidad,https://www.caldea.com/condiciones-especiales-discapacidad,"<img src="""">",200 Correcto,
https://www.caldea.com/condiciones-especiales-discapacidad,https://www.caldea.com/condiciones-especiales-discapacidad,"<img src="""">",200 Correcto,
https://www.caldea.com/condiciones-especiales-discapacidad,https://www.caldea.com/condiciones-especiales-discapacidad,"<img src="""">",200 Correcto,
https://www.caldea.com/condiciones-especiales-discapacidad,https://www.caldea.com/condiciones-especiales-discapacidad,"<img src="""">",200 Correcto,
https://www.caldea.com/en/give-experiences,https://www.caldea.com/en/give-experiences,"<img src="""">",200 Correcto,
https://www.caldea.com/en/give-experiences,https://www.caldea.com/en/give-experiences,"<img src="""">",200 Correcto,
https://www.caldea.com/en/give-experiences,https://www.caldea.com/en/give-experiences,"<img src="""">",200 Correcto,
https://www.caldea.com/en/give-experiences,https://www.caldea.com/en/give-experiences,"<img src="""">",200 Correcto,
https://www.caldea.com/en/give-experiences,https://www.caldea.com/en/give-experiences,"<img src="""">",200 Correcto,
https://www.caldea.com/en/give-experiences,https://www.caldea.com/en/give-experiences,"<img src="""">",200 Correcto,
https://www.caldea.com/en/nuu-shows,https://www.caldea.com/userfiles/images/950x537-Champagne-Sessions-video-caratula.jpg,"<img src=""https://www.caldea.com/userfiles/images/950x537-Champagne-Sessions-video-caratula.jpg"" alt=""video-thump2.jpg"">",404 No encontrado,video-thump2.jpg
https://www.caldea.com/en/special-conditions-disability,https://www.caldea.com/en/special-conditions-disability,"<img src="""">",200 Correcto,
https://www.caldea.com/en/special-conditions-disability,https://www.caldea.com/en/special-conditions-disability,"<img src="""">",200 Correcto,
https://www.caldea.com/en/special-conditions-disability,https://www.caldea.com/en/special-conditions-disability,"<img src="""">",200 Correcto,
https://www.caldea.com/en/special-conditions-disability,https://www.caldea.com/en/special-conditions-disability,"<img src="""">",200 Correcto,
https://www.caldea.com/en/special-conditions-disability,https://www.caldea.com/en/special-conditions-disability,"<img src="""">",200 Correcto,
https://www.caldea.com/en/special-conditions-disability,https://www.caldea.com/en/special-conditions-disability,"<img src="""">",200 Correcto,
