Recurso,Código de estado HTTP,Tipo contenido,Internos/Externos,Encontrado en páginas
https://www.facebook.com/Caldea,400 Solicitud erronea,text/html,Externo,5489
https://www.facebook.com/Caldea/,400 Solicitud erronea,text/html,Externo,6
https://www.facebook.com/ClubCaldea/,400 Solicitud erronea,text/html,Externo,5
https://player.vimeo.com/video/1016067783?title=0&byline=0&portrait=0&badge=0&autopause=0&player_id=0&app_id=58479,401 No autorizado,text/html,Externo,4
https://player.vimeo.com/video/1038483393?title=0&byline=0&portrait=0&badge=0&autopause=0&player_id=0&app_id=58479,401 No autorizado,text/html,Externo,4
https://player.vimeo.com/video/1038955969?title=0&byline=0&portrait=0&badge=0&autopause=0&player_id=0&app_id=58479,401 No autorizado,text/html,Externo,4
https://player.vimeo.com/video/1019460818?title=0&byline=0&portrait=0&badge=0&autopause=0&player_id=0&app_id=58479,401 No autorizado,text/html,Externo,4
https://player.vimeo.com/video/1024300241?title=0&byline=0&portrait=0&badge=0&autopause=0&player_id=0&app_id=58479,401 No autorizado,text/html,Externo,4
https://player.vimeo.com/video/1024299064?title=0&byline=0&portrait=0&badge=0&autopause=0&player_id=0&app_id=58479,401 No autorizado,text/html,Externo,4
https://player.vimeo.com/video/1019460964?title=0&byline=0&portrait=0&badge=0&autopause=0&player_id=0&app_id=58479,401 No autorizado,text/html,Externo,4
https://player.vimeo.com/video/1019461516?title=0&byline=0&portrait=0&badge=0&autopause=0&player_id=0&app_id=58479,401 No autorizado,text/html,Externo,4
https://player.vimeo.com/video/1016027469?title=0&byline=0&portrait=0&badge=0&autopause=0&player_id=0&app_id=58479,401 No autorizado,text/html,Externo,4
https://player.vimeo.com/video/1029925753?title=0&byline=0&portrait=0&badge=0&autopause=0&player_id=0&app_id=58479,401 No autorizado,text/html,Externo,3
https://player.vimeo.com/video/1016067730?title=0&byline=0&portrait=0&badge=0&autopause=0&player_id=0&app_id=58479,401 No autorizado,text/html,Externo,4
https://player.vimeo.com/video/1016027760?title=0&byline=0&portrait=0&badge=0&autopause=0&player_id=0&app_id=58479,401 No autorizado,text/html,Externo,4
https://player.vimeo.com/video/1019461131?title=0&byline=0&portrait=0&badge=0&autopause=0&player_id=0&app_id=58479,401 No autorizado,text/html,Externo,4
https://player.vimeo.com/video/1019461335?title=0&byline=0&portrait=0&badge=0&autopause=0&player_id=0&app_id=58479,401 No autorizado,text/html,Externo,4
https://player.vimeo.com/video/1038955664?title=0&byline=0&portrait=0&badge=0&autopause=0&player_id=0&app_id=58479,401 No autorizado,text/html,Externo,4
https://player.vimeo.com/video/1016067681?title=0&byline=0&portrait=0&badge=0&autopause=0&player_id=0&app_id=58479,401 No autorizado,text/html,Externo,4
https://player.vimeo.com/video/1038955315?title=0&byline=0&portrait=0&badge=0&autopause=0&player_id=0&app_id=58479,401 No autorizado,text/html,Externo,4
https://player.vimeo.com/video/1024300030?title=0&byline=0&portrait=0&badge=0&autopause=0&player_id=0&app_id=58479,401 No autorizado,text/html,Externo,4
https://player.vimeo.com/video/1016067704?title=0&byline=0&portrait=0&badge=0&autopause=0&player_id=0&app_id=58479,401 No autorizado,text/html,Externo,4
https://player.vimeo.com/video/1107993328?title=0&byline=0&portrait=0&badge=0&autopause=0&player_id=0&app_id=58479,401 No autorizado,text/html,Externo,1
https://player.vimeo.com/video/844263423?title=0&byline=0&portrait=0,401 No autorizado,text/html,Externo,8
https://player.vimeo.com/video/1019460328?title=0&byline=0&portrait=0&badge=0&autopause=0&player_id=0&app_id=58479,401 No autorizado,text/html,Externo,4
https://player.vimeo.com/video/1038956617?title=0&byline=0&portrait=0&badge=0&autopause=0&player_id=0&app_id=58479,401 No autorizado,text/html,Externo,4
http://www.caldea.com/ca/que-fer-andorra,403 Prohibido,text/html,Interno,935
http://www.caldea.com/horarios-caldea,403 Prohibido,text/html,Interno,5
http://caldea.com/,403 Prohibido,text/html,Interno,3
http://www.caldea.com/en/timetable,403 Prohibido,text/html,Interno,1
http://www.caldea.com/es,403 Prohibido,text/html,Interno,1
http://www.caldea.com/es/caldea-actividades-andorra.html,403 Prohibido,text/html,Interno,1
http://www.caldea.com/es/ofertas-hotel-mas-caldea.html,403 Prohibido,text/html,Interno,1
http://www.caldea.com/es/_o34649.htm,403 Prohibido,text/html,Interno,1
http://www.caldea.com/en/timetable-caldea,403 Prohibido,text/html,Interno,1
http://www.caldea.com/es/entrada-y-cena-en-el-restaurante-acuatico_o34650.htm,403 Prohibido,text/html,Interno,1
http://www.caldea.com/fr/entrada-y-cena-en-el-restaurante-acuatico_o34650.htm,403 Prohibido,text/html,Interno,1
http://www.caldea.com/fr/_o34649.htm,403 Prohibido,text/html,Interno,1
http://www.caldea.com/fr/offres-hotel-et-caldea.html,403 Prohibido,text/html,Interno,1
http://www.caldea.com/fr/caldea-activites-andorre.html,403 Prohibido,text/html,Interno,1
http://www.caldea.com/fr/horaires,403 Prohibido,text/html,Interno,2
http://www.caldea.com/ca/_o34649.htm,403 Prohibido,text/html,Interno,1
http://www.caldea.com/ca/entrada-y-cena-en-el-restaurante-acuatico_o34650.htm,403 Prohibido,text/html,Interno,1
http://www.caldea.com/ca,403 Prohibido,text/html,Interno,1
http://www.caldea.com/ca/ofertes-hotel-mes-Caldea.html,403 Prohibido,text/html,Interno,1
http://www.caldea.com/ca/caldea-activitats-andorra.html,403 Prohibido,text/html,Interno,1
http://www.caldea.com/en/,403 Prohibido,text/html,Interno,3
http://www.caldea.com/ca/informacio-addicional-proteccio-de-dades,403 Prohibido,text/html,Interno,1
http://www.caldea.com/,403 Prohibido,text/html,Interno,10
http://www.caldea.com/ca/bases-legals-concursos,403 Prohibido,text/html,Interno,1
http://www.caldea.com/ca/,403 Prohibido,text/html,Interno,1
http://www.caldea.com/fr/,403 Prohibido,text/html,Interno,1
http://www.caldea.com/blog/?p=1344,403 Prohibido,text/html,Interno,1
http://www.caldea.com/userfiles//Certificat_9_23272022012714 220823132727.pdf,403 Prohibido,text/html,Interno,2
http://www.caldea.com/userfiles/files/CALDEA_2021_2022.pdf,403 Prohibido,text/html,Interno,2
http://www.caldea.com/userfiles/Certificat_9_23272022012714 220823132727.pdf,403 Prohibido,text/html,Interno,2
http://www.caldea.com/userfiles/files/Cataleg_CAT_CAST_Web.pdf,403 Prohibido,text/html,Interno,1
http://www.caldea.com/userfiles/files/Cataleg_FRAN_ENG_RUS_Web.pdf,403 Prohibido,text/html,Interno,2
https://www.tripadvisor.com/Attraction_Review-g190401-d207706-Reviews-Caldea_Thermal_Spa-Escaldes_Engordany_Escaldes_Engordany_Parish.html,403 Prohibido,text/html,Externo,5479
https://dzhi65wojqlkc.cloudfront.net//js/bootstrap-modal.js,403 Prohibido,application/xml,Externo,8
https://www.tshirtideal.ca/,403 Prohibido,text/html,Externo,2
https://www.tripadvisor.in/,403 Prohibido,text/html,Externo,134
https://dzhi65wojqlkc.cloudfront.net//js/bootstrap-modalmanager.js,403 Prohibido,application/xml,Externo,8
https://dzhi65wojqlkc.cloudfront.net/js/owl.carousel.min.js,403 Prohibido,application/xml,Externo,4
https://dzhi65wojqlkc.cloudfront.net/js/bootstrap-modalmanager,403 Prohibido,application/xml,Externo,4
https://www.tripadvisor.fr/,403 Prohibido,text/html,Externo,49
https://beta.caldea.com/userfiles/1120x500_CA_CalendariWeb_ChampagneSessions FR.jpg,403 Prohibido,text/html,Externo,1
https://beta.caldea.com/fr/quoi-faire-andorre,403 Prohibido,text/html,Externo,775
https://beta.caldea.com/fr/spectacle-storm,403 Prohibido,text/html,Externo,1
https://www.tripadvisor.es/Attraction_Review-g190401-d4352914-Reviews-Inuu-Escaldes_Engordany_Escaldes_Engordany_Parish.html,403 Prohibido,text/html,Externo,77
https://dzhi65wojqlkc.cloudfront.net/blog/wp-content/uploads/2019/04/caldea-regala-1.jpg,403 Prohibido,application/xml,Externo,1
https://www.caldea.com/cdn-cgi/l/email-protection,404 No encontrado,text/html,Interno,139
https://www.caldea.com/inuu-restaurante,404 No encontrado,text/html,Interno,8
https://www.caldea.com/ca/inuu-restaurant,404 No encontrado,text/html,Interno,10
https://www.caldea.com/en/inuu-restaurant,404 No encontrado,text/html,Interno,6
https://www.caldea.com/fr/inuu-restaurant,404 No encontrado,text/html,Interno,6
https://www.caldea.com/ca/inuu/athletics-sohttps://www.caldea.com/ca/inuu/athletics-sothys-45thys-45,404 No encontrado,text/html,Interno,1
https://www.caldea.com/en/inuu/sothys-athhttps://www.caldea.com/en/inuu/sothys-athletics-45letics-45,404 No encontrado,text/html,Interno,1
https://www.caldea.com/en/ofrecer-con-hotel,404 No encontrado,text/html,Interno,4
https://www.caldea.com/Array,404 No encontrado,text/html,Interno,1
https://www.caldea.com/ca/Array,404 No encontrado,text/html,Interno,1
https://www.caldea.com/fr/Array,404 No encontrado,text/html,Interno,1
https://www.caldea.com/en/admissions-to-thermoludic,404 No encontrado,text/html,Interno,1
https://www.caldea.com/ca/oferta-activitats-andorra,404 No encontrado,text/html,Interno,2
https://www.caldea.com/oferta-tratamientos-spa-andorra,404 No encontrado,text/html,Interno,3
https://www.caldea.com/en/thermoludic/2-hour-admission-to-thermoludic-dinner,404 No encontrado,text/html,Interno,1
https://www.caldea.com/ca/termoludic/oferta-entrada-matins-origens,404 No encontrado,text/html,Interno,2
https://www.caldea.com/fr/thermoludique/offre-entree-matins-origines,404 No encontrado,text/html,Interno,2
https://www.caldea.com/en/thermoludic/offer-entry-mornings-origins,404 No encontrado,text/html,Interno,2
https://www.caldea.com/en/en/timetable,404 No encontrado,text/html,Interno,1
https://www.caldea.com/ca/ofertes-spa-sant-valenti,404 No encontrado,text/html,Interno,2
https://www.caldea.com/en/saint-valentines-day-spa-offers,404 No encontrado,text/html,Interno,2
https://www.caldea.com/userfiles/files/Restaurentmenu.pdf.,404 No encontrado,text/html,Interno,1
https://www.caldea.com/en/gift-card/pp,404 No encontrado,text/html,Interno,1
https://www.caldea.com/blog/wp-json/oembed/1.0/embed?url=https://www.caldea.com/blog/les-5-experiences-incontournables-a-caldea/?lang=fr&format=xml,404 No encontrado,text/xml,Interno,1
https://www.caldea.com/blog/wp-json/oembed/1.0/embed?url=https://www.caldea.com/blog/les-5-experiences-incontournables-a-caldea/?lang=fr,404 No encontrado,application/json,Interno,1
https://www.caldea.com/blog/wp-json/oembed/1.0/embed?url=https://www.caldea.com/blog/offrez-des-experiences-spa-et-bien-etre-en-andorre/?lang=fr&format=xml,404 No encontrado,text/xml,Interno,1
https://www.caldea.com/blog/wp-json/oembed/1.0/embed?url=https://www.caldea.com/blog/votre-escapade-complete-en-andorre/?lang=fr,404 No encontrado,application/json,Interno,1
https://www.caldea.com/blog/wp-json/oembed/1.0/embed?url=https://www.caldea.com/blog/offrez-des-experiences-spa-et-bien-etre-en-andorre/?lang=fr,404 No encontrado,application/json,Interno,1
https://www.caldea.com/blog/wp-json/oembed/1.0/embed?url=https://www.caldea.com/blog/votre-escapade-complete-en-andorre/?lang=fr&format=xml,404 No encontrado,text/xml,Interno,1
https://www.caldea.com/blog/wp-json/oembed/1.0/embed?url=https://www.caldea.com/blog/nou-espectacle-caldea-2026/?lang=ca,404 No encontrado,application/json,Interno,1
https://www.caldea.com/blog/wp-json/oembed/1.0/embed?url=https://www.caldea.com/blog/nou-espectacle-caldea-2026/?lang=ca&format=xml,404 No encontrado,text/xml,Interno,1
https://www.caldea.com/blog/wp-json/oembed/1.0/embed?url=https://www.caldea.com/blog/le-plan-parfait-pour-les-enfants-en-andorre/?lang=fr,404 No encontrado,application/json,Interno,1
https://www.caldea.com/blog/wp-json/oembed/1.0/embed?url=https://www.caldea.com/blog/a-caldea-prenez-soin-de-votre-peau-en-hiver/?lang=fr,404 No encontrado,application/json,Interno,1
https://www.caldea.com/blog/wp-json/oembed/1.0/embed?url=https://www.caldea.com/blog/a-caldea-prenez-soin-de-votre-peau-en-hiver/?lang=fr&format=xml,404 No encontrado,text/xml,Interno,1
https://www.caldea.com/blog/wp-json/oembed/1.0/embed?url=https://www.caldea.com/blog/le-plan-parfait-pour-les-enfants-en-andorre/?lang=fr&format=xml,404 No encontrado,text/xml,Interno,1
https://www.caldea.com/blog/wp-json/oembed/1.0/embed?url=https://www.caldea.com/blog/que-fer-en-48-hores-amb-visita-a-caldea/?lang=ca&format=xml,404 No encontrado,text/xml,Interno,1
https://www.caldea.com/blog/wp-json/oembed/1.0/embed?url=https://www.caldea.com/blog/que-fer-en-48-hores-amb-visita-a-caldea/?lang=ca,404 No encontrado,application/json,Interno,1
https://www.caldea.com/blog/wp-json/oembed/1.0/embed?url=https://www.caldea.com/blog/les-5-millors-experiencies-a-caldea/?lang=ca&format=xml,404 No encontrado,text/xml,Interno,1
https://www.caldea.com/blog/wp-json/oembed/1.0/embed?url=https://www.caldea.com/blog/les-5-millors-experiencies-a-caldea/?lang=ca,404 No encontrado,application/json,Interno,1
https://www.caldea.com/blog/wp-json/oembed/1.0/embed?url=https://www.caldea.com/blog/le-veritable-bien-etre-ne-sexplique-pas/?lang=fr&format=xml,404 No encontrado,text/xml,Interno,1
https://www.caldea.com/blog/wp-json/oembed/1.0/embed?url=https://www.caldea.com/blog/small-group-training-al-club-caldea/?lang=ca&format=xml,404 No encontrado,text/xml,Interno,1
https://www.caldea.com/blog/wp-json/oembed/1.0/embed?url=https://www.caldea.com/blog/le-veritable-bien-etre-ne-sexplique-pas/?lang=fr,404 No encontrado,application/json,Interno,1
https://www.caldea.com/blog/wp-json/oembed/1.0/embed?url=https://www.caldea.com/blog/true-wellbeing-cant-be-explained/?lang=en&format=xml,404 No encontrado,text/xml,Interno,1
https://www.caldea.com/blog/wp-json/oembed/1.0/embed?url=https://www.caldea.com/blog/true-wellbeing-cant-be-explained/?lang=en,404 No encontrado,application/json,Interno,1
https://www.caldea.com/blog/wp-json/oembed/1.0/embed?url=https://www.caldea.com/blog/regala-spa-i-benestar-a-andorra/?lang=ca,404 No encontrado,application/json,Interno,1
https://www.caldea.com/blog/wp-json/oembed/1.0/embed?url=https://www.caldea.com/blog/run-social-club-correr-en-grup-avancar-junts/?lang=ca,404 No encontrado,application/json,Interno,1
https://www.caldea.com/blog/wp-json/oembed/1.0/embed?url=https://www.caldea.com/blog/una-nova-experiencia-de-benestar/?lang=ca,404 No encontrado,application/json,Interno,1
https://www.caldea.com/blog/wp-json/oembed/1.0/embed?url=https://www.caldea.com/blog/fes-que-els-teus-proposits-es-mantinguin-en-el-temps/?lang=ca,404 No encontrado,application/json,Interno,1
https://www.caldea.com/blog/wp-json/oembed/1.0/embed?url=https://www.caldea.com/blog/run-social-club-correr-en-grup-avancar-junts/?lang=ca&format=xml,404 No encontrado,text/xml,Interno,1
https://www.caldea.com/blog/wp-json/oembed/1.0/embed?url=https://www.caldea.com/blog/nova-sortida-club-caldea-3/?lang=ca&format=xml,404 No encontrado,text/xml,Interno,1
https://www.caldea.com/blog/wp-json/oembed/1.0/embed?url=https://www.caldea.com/blog/the-perfect-plan-with-kids-in-andorra/?lang=en&format=xml,404 No encontrado,text/xml,Interno,1
https://www.caldea.com/blog/wp-json/oembed/1.0/embed?url=https://www.caldea.com/blog/andorras-most-fun-spa-rewrites-the-rules/?lang=en,404 No encontrado,application/json,Interno,1
https://www.caldea.com/blog/wp-json/oembed/1.0/embed?url=https://www.caldea.com/blog/the-top-5-caldea-experiences/?lang=en&format=xml,404 No encontrado,text/xml,Interno,1
https://www.caldea.com/blog/wp-json/oembed/1.0/embed?url=https://www.caldea.com/blog/give-spa-and-wellness-experiences-in-andorra/?lang=en&format=xml,404 No encontrado,text/xml,Interno,1
https://www.caldea.com/blog/wp-json/oembed/1.0/embed?url=https://www.caldea.com/blog/give-spa-and-wellness-experiences-in-andorra/?lang=en,404 No encontrado,application/json,Interno,1
