Página,URL canónica,Valor(es) hreflang página,# de elementos hreflang
https://www.caldea.com/EN/,https://www.caldea.com/,N/D,1
https://www.caldea.com/blog/?lang=ca,https://www.caldea.com/blog/,ca,5
https://www.caldea.com/blog/?lang=en,https://www.caldea.com/blog/,en,5
https://www.caldea.com/blog/?lang=fr,https://www.caldea.com/blog/,fr,5
https://www.caldea.com/blog/anticipat-a-lhivern-amb-les-ofertes-early-booking-neu/?lang=ca,https://www.caldea.com/blog/?p=17510&lang=fr,ca,5
https://www.caldea.com/blog/anticipez-lhiver-avec-les-offres-early-booking-neige/?lang=fr,https://www.caldea.com/blog/?p=17513&lang=en,fr,5
https://www.caldea.com/blog/beneficis-aigua-freda/?lang=ca,https://www.caldea.com/blog/beneficios-agua-fria/,ca,5
https://www.caldea.com/blog/black-friday-2018/?lang=ca,https://www.caldea.com/blog/black-friday-2018/,ca,5
https://www.caldea.com/blog/black-friday-2024-descobreix-les-millors-ofertes-de-caldea/?lang=ca,https://www.caldea.com/blog/?p=17754&lang=en,ca,5
https://www.caldea.com/blog/caldea-animacions-espectacle/?lang=ca,https://www.caldea.com/blog/?p=15557&lang=en,ca,5
https://www.caldea.com/blog/caldea-animations-ete-2023/?lang=fr,https://www.caldea.com/blog/?p=15557&lang=en,fr,5
https://www.caldea.com/blog/christmas-hotels-in-andorra-a-complete-guide/?lang=en,https://www.caldea.com/blog/?p=17796&lang=fr,en,5
https://www.caldea.com/blog/halloween-caldea/?lang=en,https://www.caldea.com/blog/halloween-caldea/,en,5
https://www.caldea.com/blog/hotels-per-nadal-a-andorra-una-guia-completa/?lang=ca,https://www.caldea.com/blog/?p=17792&lang=en,ca,5
https://www.caldea.com/blog/idees-regal-dia-mare/?lang=ca,https://www.caldea.com/blog/ideas-regalo-dia-madre/,ca,5
https://www.caldea.com/blog/inuu-halt-spring/?lang=en,https://www.caldea.com/blog/inuu-parada-primavera/,en,5
https://www.caldea.com/blog/les-millors-ofertes-per-al-pont-de-desembre-a-caldea/?lang=ca,https://www.caldea.com/blog/?p=17681&lang=en,ca,5
https://www.caldea.com/blog/les-spectacles-dete-a-ne-pas-manquer-en-andorre/?lang=fr,https://www.caldea.com/blog/?p=17147&lang=en,fr,5
https://www.caldea.com/blog/mascareta-aquatica-covid-19/?lang=ca,https://www.caldea.com/blog/mascarilla-acuatica-covid-19/,ca,4
https://www.caldea.com/blog/massages-soins-sothys/?lang=fr,https://www.caldea.com/blog/masajes-tratamientos-sothys/,fr,4
https://www.caldea.com/blog/nou-projecte-hotel-torre-caldea/?lang=ca,https://www.caldea.com/blog/nuevo-proyecto-hotel-torre-caldea/,ca,4
https://www.caldea.com/blog/plans-culturals-andorra-recomanacions-estiu-2023/?lang=ca,https://www.caldea.com/blog/?p=15426&lang=fr,ca,5
https://www.caldea.com/blog/spartan-race-encamp-recuperacio/?lang=ca,https://www.caldea.com/blog/spartan-race-encamp-recuperacion/,ca,5
https://www.caldea.com/blog/special-nouvel-automne-dans-la-romantic-room/?lang=fr,https://www.caldea.com/blog/?p=17584&lang=en,fr,5
https://www.caldea.com/blog/spring-skin-care/?lang=en,https://www.caldea.com/blog/primavera-cuidados-piel/,en,5
https://www.caldea.com/blog/the-best-offers-for-the-december-long-weekend-at-caldea-2/?lang=en,https://www.caldea.com/blog/?p=17683&lang=fr,en,5
https://www.caldea.com/blog/winter-sales-andorra/?lang=en,https://www.caldea.com/blog/rebajas-invierno-andorra/,en,5
https://www.caldea.com/ca/,https://www.caldea.com/,N/D,1
https://www.caldea.com/ca/carta-restaurant?language=ok,https://www.caldea.com/ca/carta-restaurant,N/D,4
https://www.caldea.com/ca/residents-entrades?inuu=Y,https://www.caldea.com/ca/residents-entrades,N/D,3
https://www.caldea.com/ca/siam-shiki-restaurant?language=ok,https://www.caldea.com/ca/siam-shiki-restaurant,N/D,4
https://www.caldea.com/en/,https://www.caldea.com/,N/D,1
https://www.caldea.com/en/restaurant-menu?language=ok,https://www.caldea.com/en/restaurant-menu,N/D,4
https://www.caldea.com/en/siam-shiki-restaurant?language=ok,https://www.caldea.com/en/siam-shiki-restaurant,N/D,4
https://www.caldea.com/entradas-residentes?inuu=Y,https://www.caldea.com/entradas-residentes,N/D,3
https://www.caldea.com/es/,https://www.caldea.com/,N/D,1
https://www.caldea.com/fr/,https://www.caldea.com/,N/D,1
https://www.caldea.com/fr/menu-restaurant?language=ok,https://www.caldea.com/fr/menu-restaurant,N/D,4
https://www.caldea.com/fr/siam-shiki-restaurant?language=ok,https://www.caldea.com/fr/siam-shiki-restaurant,N/D,4
