Recurso,Código de estado HTTP,Tipo contenido,Instrucciones Robots
https://www.caldea.com/blog/10-raisons-de-choisir-landorre-pour-vos-vacances/feed/?lang=fr,200 Correcto,application/rss+xml,Desautorizado (Etiqueta X-Robots)
https://www.caldea.com/blog/10-raons-per-triar-andorra-per-venir-de-vacances/feed/?lang=ca,200 Correcto,application/rss+xml,Desautorizado (Etiqueta X-Robots)
https://www.caldea.com/blog/10-razones-para-elegir-andorra-en-tus-vacaciones/feed/,200 Correcto,application/rss+xml,Desautorizado (Etiqueta X-Robots)
https://www.caldea.com/blog/10-reasons-to-choose-andorra-for-your-holiday/feed/?lang=en,200 Correcto,application/rss+xml,Desautorizado (Etiqueta X-Robots)
https://www.caldea.com/blog/19019/feed/?lang=ca,200 Correcto,application/rss+xml,Desautorizado (Etiqueta X-Robots)
https://www.caldea.com/blog/19116/feed/,200 Correcto,application/rss+xml,Desautorizado (Etiqueta X-Robots)
https://www.caldea.com/blog/25-aniversari-caldea-festa/feed/?lang=ca,200 Correcto,application/rss+xml,Desautorizado (Etiqueta X-Robots)
https://www.caldea.com/blog/25-aniversario-caldea-fiesta/feed/,200 Correcto,application/rss+xml,Desautorizado (Etiqueta X-Robots)
https://www.caldea.com/blog/25-aniversario-caldea-fiesta/feed/?lang=en,200 Correcto,application/rss+xml,Desautorizado (Etiqueta X-Robots)
https://www.caldea.com/blog/25-aniversario-caldea-fiesta/feed/?lang=fr,200 Correcto,application/rss+xml,Desautorizado (Etiqueta X-Robots)
https://www.caldea.com/blog/26-marc-caldea-celebracio/feed/?lang=ca,200 Correcto,application/rss+xml,Desautorizado (Etiqueta X-Robots)
https://www.caldea.com/blog/26-mars-caldea-celebration/feed/?lang=fr,200 Correcto,application/rss+xml,Desautorizado (Etiqueta X-Robots)
https://www.caldea.com/blog/26-marzo-caldea-celebracion/feed/,200 Correcto,application/rss+xml,Desautorizado (Etiqueta X-Robots)
https://www.caldea.com/blog/26th-march-caldea-celebration/feed/?lang=en,200 Correcto,application/rss+xml,Desautorizado (Etiqueta X-Robots)
