Página,Título,Código de estado HTTP,Instrucciones Robots
http://caldea.com/,Todavía no comprobado,403 Prohibido,Permitido
http://www.caldea.com/,Todavía no comprobado,403 Prohibido,Permitido
http://www.caldea.com/blog/?p=1344,Todavía no comprobado,403 Prohibido,Permitido
http://www.caldea.com/ca,Todavía no comprobado,403 Prohibido,Permitido
http://www.caldea.com/ca/,Todavía no comprobado,403 Prohibido,Permitido
http://www.caldea.com/ca/_o34649.htm,Todavía no comprobado,403 Prohibido,Permitido
http://www.caldea.com/ca/bases-legals-concursos,Todavía no comprobado,403 Prohibido,Permitido
http://www.caldea.com/ca/caldea-activitats-andorra.html,Todavía no comprobado,403 Prohibido,Permitido
http://www.caldea.com/ca/entrada-y-cena-en-el-restaurante-acuatico_o34650.htm,Todavía no comprobado,403 Prohibido,Permitido
http://www.caldea.com/ca/informacio-addicional-proteccio-de-dades,Todavía no comprobado,403 Prohibido,Permitido
http://www.caldea.com/ca/ofertes-hotel-mes-Caldea.html,Todavía no comprobado,403 Prohibido,Permitido
http://www.caldea.com/ca/que-fer-andorra,Todavía no comprobado,403 Prohibido,Permitido
http://www.caldea.com/en/,Todavía no comprobado,403 Prohibido,Permitido
http://www.caldea.com/en/timetable,Todavía no comprobado,403 Prohibido,Permitido
http://www.caldea.com/en/timetable-caldea,Todavía no comprobado,403 Prohibido,Permitido
http://www.caldea.com/es,Todavía no comprobado,403 Prohibido,Permitido
http://www.caldea.com/es/_o34649.htm,Todavía no comprobado,403 Prohibido,Permitido
http://www.caldea.com/es/caldea-actividades-andorra.html,Todavía no comprobado,403 Prohibido,Permitido
http://www.caldea.com/es/entrada-y-cena-en-el-restaurante-acuatico_o34650.htm,Todavía no comprobado,403 Prohibido,Permitido
http://www.caldea.com/es/ofertas-hotel-mas-caldea.html,Todavía no comprobado,403 Prohibido,Permitido
http://www.caldea.com/fr/,Todavía no comprobado,403 Prohibido,Permitido
http://www.caldea.com/fr/_o34649.htm,Todavía no comprobado,403 Prohibido,Permitido
http://www.caldea.com/fr/caldea-activites-andorre.html,Todavía no comprobado,403 Prohibido,Permitido
http://www.caldea.com/fr/entrada-y-cena-en-el-restaurante-acuatico_o34650.htm,Todavía no comprobado,403 Prohibido,Permitido
http://www.caldea.com/fr/horaires,Todavía no comprobado,403 Prohibido,Permitido
http://www.caldea.com/fr/offres-hotel-et-caldea.html,Todavía no comprobado,403 Prohibido,Permitido
http://www.caldea.com/horarios-caldea,Todavía no comprobado,403 Prohibido,Permitido
https://caldea.com/ca/espectacle-storm,Todavía no comprobado,301 Movido permanentemente,Permitido
https://caldea.com/ca/oferta-restaurant-andorra,Todavía no comprobado,301 Movido permanentemente,Permitido
https://caldea.com/en/offer-restaurant-andorra,Todavía no comprobado,301 Movido permanentemente,Permitido
https://caldea.com/espectaculo-storm,Todavía no comprobado,301 Movido permanentemente,Permitido
https://caldea.com/fr/offre-restaurant-andorre,Todavía no comprobado,301 Movido permanentemente,Permitido
https://caldea.com/fr/spectacle-storm,Todavía no comprobado,301 Movido permanentemente,Permitido
https://caldea.com/inuu/escapada-primavera-entrada-spa-hotel-4,Todavía no comprobado,301 Movido permanentemente,Permitido
https://www.caldea.com/Array,Todavía no comprobado,404 No encontrado,Permitido
https://www.caldea.com/belleza-by-natura-bisse,Todavía no comprobado,302 Movido temporalmente,Permitido
https://www.caldea.com/blackfriday,Todavía no comprobado,301 Movido permanentemente,Permitido
https://www.caldea.com/blog/1200x801_ca_imatgeblog_buddhabowls/,Todavía no comprobado,301 Movido permanentemente,Permitido
https://www.caldea.com/blog/1200x801_ca_nadal_blog_cast/,Todavía no comprobado,301 Movido permanentemente,Permitido
https://www.caldea.com/blog/1200x801_ca_nadal_blog_cat/,Todavía no comprobado,301 Movido permanentemente,Permitido
https://www.caldea.com/blog/1200x801_ca_nadal_blog_fra/,Todavía no comprobado,301 Movido permanentemente,Permitido
https://www.caldea.com/blog/1200x801_ca_spacasa2_blog/,Todavía no comprobado,301 Movido permanentemente,Permitido
https://www.caldea.com/blog/?attachment_id=10025,Todavía no comprobado,301 Movido permanentemente,Permitido
https://www.caldea.com/blog/?attachment_id=10104,Todavía no comprobado,301 Movido permanentemente,Permitido
https://www.caldea.com/blog/?attachment_id=10144,Todavía no comprobado,301 Movido permanentemente,Permitido
https://www.caldea.com/blog/?attachment_id=10177,Todavía no comprobado,301 Movido permanentemente,Permitido
https://www.caldea.com/blog/?attachment_id=1112,Todavía no comprobado,301 Movido permanentemente,Permitido
https://www.caldea.com/blog/?attachment_id=12557,Todavía no comprobado,301 Movido permanentemente,Permitido
https://www.caldea.com/blog/?attachment_id=12559&lang=en,Todavía no comprobado,301 Movido permanentemente,Permitido
https://www.caldea.com/blog/?attachment_id=2518,Todavía no comprobado,301 Movido permanentemente,Permitido
https://www.caldea.com/blog/?attachment_id=2524,Todavía no comprobado,301 Movido permanentemente,Permitido
https://www.caldea.com/blog/?attachment_id=2560,Todavía no comprobado,301 Movido permanentemente,Permitido
https://www.caldea.com/blog/?attachment_id=2586,Todavía no comprobado,301 Movido permanentemente,Permitido
https://www.caldea.com/blog/?attachment_id=2587,Todavía no comprobado,301 Movido permanentemente,Permitido
https://www.caldea.com/blog/?attachment_id=2612,Todavía no comprobado,301 Movido permanentemente,Permitido
https://www.caldea.com/blog/?attachment_id=2709,Todavía no comprobado,301 Movido permanentemente,Permitido
https://www.caldea.com/blog/?attachment_id=2731,Todavía no comprobado,301 Movido permanentemente,Permitido
https://www.caldea.com/blog/?attachment_id=2759,Todavía no comprobado,301 Movido permanentemente,Permitido
https://www.caldea.com/blog/?attachment_id=2796,Todavía no comprobado,301 Movido permanentemente,Permitido
https://www.caldea.com/blog/?attachment_id=2873,Todavía no comprobado,301 Movido permanentemente,Permitido
https://www.caldea.com/blog/?attachment_id=2989,Todavía no comprobado,301 Movido permanentemente,Permitido
https://www.caldea.com/blog/?attachment_id=2996,Todavía no comprobado,301 Movido permanentemente,Permitido
https://www.caldea.com/blog/?attachment_id=3035,Todavía no comprobado,301 Movido permanentemente,Permitido
https://www.caldea.com/blog/?attachment_id=3051,Todavía no comprobado,301 Movido permanentemente,Permitido
https://www.caldea.com/blog/?attachment_id=3091,Todavía no comprobado,301 Movido permanentemente,Permitido
https://www.caldea.com/blog/?attachment_id=3121,Todavía no comprobado,301 Movido permanentemente,Permitido
https://www.caldea.com/blog/?attachment_id=3228,Todavía no comprobado,301 Movido permanentemente,Permitido
https://www.caldea.com/blog/?attachment_id=3249,Todavía no comprobado,301 Movido permanentemente,Permitido
https://www.caldea.com/blog/?attachment_id=3344,Todavía no comprobado,301 Movido permanentemente,Permitido
https://www.caldea.com/blog/?attachment_id=3380,Todavía no comprobado,301 Movido permanentemente,Permitido
https://www.caldea.com/blog/?attachment_id=3458,Todavía no comprobado,301 Movido permanentemente,Permitido
https://www.caldea.com/blog/?attachment_id=3503,Todavía no comprobado,301 Movido permanentemente,Permitido
