Dirección,Código de respuesta,Tipo de contenido,Indexabilidad,Estado de indexabilidad,Nivel de profundidad,Enlaces internos,Enlaces internos únicos,Enlaces salientes,Recuento de palabras,Tiempo de respuesta,Last Modified,Elemento de enlace canónico 1,Meta robots 1,Título 1,Meta description 1,H1-1,Ancho de píxeles del título 1,Ancho de píxeles de la meta description 1
https://caldea.com/,301,text/html,No indexable,Redirigido,0,0,0,0,0,"0,155",,,,,,,0,0
https://www.caldea.com/,200,text/html; charset=UTF-8,Indexable,,1,13421,10470,160,1042,"0,339",,,"all,index,follow",Caldea Spa: Relax y Bienestar con Aguas Termales en Andorra,"Conoce el spa más exclusivo de aguas termales y tratamientos. En Caldea, Andorra, déjate llevar, disfruta y vive una experiencia inolvidable.","San Valentín, un momento para dos",555,858
https://www.caldea.com/reserva-ahora,200,text/html; charset=UTF-8,Indexable,,2,10838,2638,155,989,"0,348",,,"all,index,follow","Comprar Entradas Online para Caldea. Un spa, 3 experiencias.","Reserva tus entradas  al mejor precio para Caldea. Tres experiencias para elegir: entrada Classic, Premium y Plus. ¡Ofertas exclusivas!",,550,817
https://www.caldea.com/masajes/localizados,200,text/html; charset=UTF-8,Indexable,,2,5297,2638,155,889,"0,423",,,"all,index,follow",Masajes localizados en una parte del cuerpo,¿Tienes 20 minutos? Reserva nuestro masaje local y relájate en nuestras manos.,Locales,395,496
https://www.caldea.com/coleccion,200,text/html; charset=UTF-8,Indexable,,2,5296,2638,151,1175,"0,343",,,"all, index, follow",Comprar colección Caldea | Productos de baño y regalo,"Descubre la nueva colección de Caldea, compuesta por bañadores, toallas, neceseres, libretas, bidones... ¡y luce el color que más te guste!",Colección Caldea,491,844
https://www.caldea.com/masajes/parciales,200,text/html; charset=UTF-8,Indexable,,2,5302,2638,162,1076,"0,638",,,"all,index,follow","Masajes parciales en Andorra: espalda, craneales, reflexología","Masaje de espalda, de piernas o cabeza, incluso reflexología podal, son algunos de los masajes rápidos que podrás reservar en CALDEA.",Parciales,554,837
https://www.caldea.com/rituales/evasion,200,text/html; charset=UTF-8,Indexable,,2,5300,2638,158,992,"0,620",,,"all,index,follow",Tratamientos Caldea | Rituales de evasión,Descubre los rituales aromáticos y 100% a medida con los que disfrutarás con todos tus sentidos.,Evasión,376,602
https://www.caldea.com/premium/oferta-entrada-parejas,200,text/html; charset=UTF-8,Indexable,,2,24,4,152,1019,"0,596",,,,Caldea | Entrada Premium parejas,Vive el invierno en Andorra con el mejor plan para parejas en Caldea. Acces Premium de 3 horas por solo 125 €,Entrada Premium Pack Dúo,305,677
https://www.caldea.com/ofertas-tratamientos-duo-romantic-room,200,text/html; charset=UTF-8,Indexable,,2,10581,2639,156,955,"0,520",,,"all,index,follow",The Romantic Room | Nuevas experiencias en Caldea para parejas,Disfruta en pareja de nuestras ofertas con entrada a Caldea y masaje a dúo en un espacio de privacidad absoluta. ¡Bienvenidos a la love connection de la nueva Romantic Room!,The Romantic Room,591,1087
https://www.caldea.com/que-es-caldea,200,text/html; charset=UTF-8,Indexable,,2,2659,2638,157,860,"0,311",,,"all,index,follow",Spa Balneario Caldea | Historia del termalismo en Andorra,"Conoce toda la historia del centro termal, beneficios y características de las aguas termales e informate sobre los diferentes spas y las últimas novedades.",Nuestro spa,518,948
https://www.caldea.com/nuestro-spa,200,text/html; charset=UTF-8,Indexable,,2,10652,2639,265,5243,"1,115",,,"all,index,follow",Caldea Andorra: Descubre Nuestras Instalaciones Spa,"Explora las increíbles instalaciones de Caldea, el mejor spa de Andorra. Piscinas termales , tratamientos de belleza y relajación, restaurantes.",,480,863
