Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
caldea,1,1,33100,46,0.16,https://www.caldea.com/,26480,19.86,4236.00,0.55,992000,"[100,81,54,66,54,29,36,54,81,44,54,81]",2026-01-30,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",navigational,Organic
caldea andorra,1,1,27100,39,0.16,https://www.caldea.com/,21680,16.26,3468.00,0.81,673000,"[100,81,54,44,29,20,20,44,54,44,54,66]",2026-01-31,"Knowledge panel, Sitelinks, Video, Image, Ads top, People also ask, Related searches",navigational,Organic
caldea spa,1,1,9900,42,0.16,https://www.caldea.com/,7920,5.94,1267.00,0.81,550000,"[36,100,13,66,13,5,8,8,20,7,10,13]",2026-02-03,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",navigational,Organic
caldea spa andorra,1,1,4400,33,0.16,https://www.caldea.com/,3520,2.64,563.00,0.81,397000,"[100,81,24,44,12,10,19,12,8,5,12,36]",2026-02-05,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",navigational,Organic
andorra caldea balneario,1,1,3600,40,0.16,https://www.caldea.com/,2880,2.16,460.00,0.81,43900,"[66,44,8,66,54,44,44,16,19,54,100,44]",2026-01-31,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches, Short videos",navigational,Organic
caldea entradas,1,1,2900,35,0.15,https://www.caldea.com/entradas,2320,1.74,348.00,1,261000,"[100,100,53,24,35,24,18,53,66,53,53,66]",2026-02-04,"Knowledge panel, Video, Ads top, Ads bottom, People also ask, Related searches","navigational, transactional",Organic
spa caldea,1,1,2900,41,0.16,https://www.caldea.com/,2320,1.74,371.00,0.81,537000,"[8,16,24,66,6,3,3,8,36,29,36,16]",2026-02-02,"Knowledge panel, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches",navigational,Organic
andorra caldea,1,1,2900,35,0.16,https://www.caldea.com/,2320,1.74,371.00,0.81,661000,"[66,36,43,28,36,8,13,36,36,43,43,100]",2026-01-30,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",navigational,Organic
caldea centro termoludico,1,1,2400,21,0.16,https://www.caldea.com/,1920,1.44,307.00,0.81,17700,"[0,0,0,0,0,0,0,0,5,0,100,0]",2026-01-30,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",navigational,Organic
balneario andorra,1,1,2400,33,0.10,https://www.caldea.com/,1920,1.44,192.00,0.84,1760000,"[100,53,44,35,35,24,29,44,44,44,44,53]",2026-02-03,"Knowledge panel, Video, Image, People also ask, Related searches",informational,Organic
centro termolúdico de caldea,1,1,1900,23,0.16,https://www.caldea.com/,1520,1.14,243.00,0.81,16700,"[100,66,13,100,81,66,2,1,0,3,0,1]",2026-02-04,"Knowledge panel, Sitelinks, Video, Ads bottom, People also ask, Related searches, AI overview",navigational,Organic
entradas caldea,1,1,1900,31,0.15,https://www.caldea.com/entradas,1520,1.14,228.00,1,238000,"[100,43,43,22,36,13,20,43,43,29,36,43]",2026-02-02,"Knowledge panel, People also ask, Related searches","navigational, transactional",Organic
spa andorra caldea,1,1,1900,36,0.16,https://www.caldea.com/,1520,1.14,243.00,0.81,521000,"[35,100,100,16,7,66,13,13,18,24,24,53]",2026-01-30,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",navigational,Organic
caldea.ad,1,1,1900,25,0.16,https://www.caldea.com/,1520,1.14,243.00,0.81,847000,"[66,44,0,0,0,0,0,0,0,54,100,44]",2026-01-31,"Knowledge panel, Sitelinks, Video, People also ask",navigational,Organic
centro termolúdico caldea,1,1,1900,32,0.16,https://www.caldea.com/,1520,1.14,243.00,0.26,15900,"[3,15,10,7,5,15,43,36,36,36,54,81]",2026-02-02,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",navigational,Organic
caldea ad,1,1,1600,32,0.16,https://www.caldea.com/,1280,0.96,204.00,0.81,344000,"[66,100,54,100,66,79,36,54,79,41,41,79]",2026-01-20,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
spa caldea andorra,1,1,1300,31,0.16,https://www.caldea.com/,1040,0.78,166.00,0.81,543000,"[13,100,29,43,16,43,5,8,7,7,29,65]",2026-02-01,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",navigational,Organic
caldea mas hotel,1,1,1300,23,0.40,https://www.caldea.com/oferta-hotel-andorra,1040,0.78,416.00,0.92,249000,"[66,66,44,36,24,16,16,27,36,36,44,52]",2026-01-26,"Image, Related searches",transactional,Organic
balneario caldea,1,1,1300,25,0.14,https://www.caldea.com/,1040,0.78,145.00,0.78,176000,"[65,82,55,44,34,24,30,44,55,44,55,55]",2026-01-22,"Knowledge panel, Image pack, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches",navigational,Organic
ofertes caldea,1,1,1300,28,0.24,https://www.caldea.com/ofertas,1040,0.78,249.00,1,116000,"[66,41,66,79,54,24,41,66,79,54,54,66]",2026-02-03,"People also ask, Related searches","informational, transactional",Organic
caldea ofertas,1,1,1300,29,0.24,https://www.caldea.com/ofertas,1040,0.78,249.00,1,288000,"[44,65,44,44,30,20,34,44,55,34,44,44]",2026-01-22,"Video, People also ask, Related searches","informational, transactional",Organic
caldea,10,10,33100,46,0.16,http://www.caldea.com/,1019,0.76,163.00,0.55,992000,"[100,81,54,66,54,29,36,54,81,44,54,81]",2026-01-30,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",navigational,Knowledge panel
entrada caldea,1,1,1000,34,0.15,https://www.caldea.com/entradas,800,0.6,120.00,1,409000,"[54,100,41,54,20,13,16,30,54,66,36,36]",2026-01-31,"Knowledge panel, Image pack, Image, People also ask, Related searches","navigational, transactional",Organic
caldea balneario,1,1,1000,32,0.20,https://www.caldea.com/,800,0.6,160.00,0.55,162000,"[31,68,100,68,68,68,46,84,20,37,31,37]",2025-12-14,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, Related searches",navigational,Organic
centro termoludico caldea andorra,1,1,1000,34,0.25,https://www.caldea.com/,800,0.6,200.00,0.31,38200,"[2,4,3,7,27,16,8,13,36,80,66,44]",2025-12-05,"Knowledge panel, Sitelinks, Video, Image, Related searches",navigational,Organic
spa andorra,1,1,2900,25,0.20,http://www.caldea.com/,719,0.53,143.00,0.95,26500000,"[100,81,53,35,29,24,66,35,53,44,53,53]",2026-02-03,"Local pack, Video, Image, Related searches",commercial,Local pack
caldea precios,1,1,880,29,0.08,https://www.caldea.com/entradas,704,0.52,56.00,0.89,248000,"[68,100,68,46,46,31,31,37,46,37,46,37]",2026-01-03,"Video, Related searches, AI overview","navigational, transactional",Organic
hotel caldea,1,1,880,27,0.44,https://www.caldea.com/ofertas-caldea-hotel,704,0.52,309.00,0.86,576000,"[44,100,20,8,7,4,13,24,30,34,16,30]",2026-01-25,"Knowledge panel, Image, Related searches","navigational, transactional",Organic
hotel mas caldea,1,1,880,23,0.40,https://www.caldea.com/oferta-hotel-andorra,704,0.52,281.00,0.92,253000,"[37,31,25,52,20,31,31,37,68,37,46,84]",2026-01-19,"Image, Ads bottom, Related searches",transactional,Organic
calde,1,1,880,35,0.27,https://www.caldea.com/,704,0.52,190.00,0.07,30200000,"[55,55,62,62,62,45,62,62,62,62,45,55]",2026-02-01,"Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask, Related searches",navigational,Organic
