Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
caldea,1,1,720,35,0.46,https://www.caldea.com/en/,576,15.66,264.00,0.02,1030000,"[72,88,88,48,48,72,48,59,59,72,72,59]",2026-01-13,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",navigational,Organic
caldea andorra,1,1,590,,0.57,https://www.caldea.com/en/,472,12.83,269.00,0.02,589000,"[100,48,88,72,72,32,59,48,39,88,48,59]",2026-01-09,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches, Short videos",navigational,Organic
caldea spa,1,1,590,44,1.01,https://www.caldea.com/en/,472,12.83,476.00,0.03,465000,"[72,59,59,100,59,72,39,48,48,72,72,59]",2025-12-17,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",navigational,Organic
caldea spa andorra,1,1,480,35,0.57,https://www.caldea.com/en/,384,10.44,218.00,0.02,326000,"[44,36,36,54,100,54,44,36,44,81,12,44]",2025-12-26,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",navigational,Organic
centro termoludico andorra,1,1,320,25,1.01,https://www.caldea.com/,256,6.96,258.00,0.03,26800,"[66,35,66,28,54,100,23,100,81,23,28,66]",2025-12-15,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",navigational,Organic
andorra caldea balneario,1,1,320,,0.57,https://www.caldea.com/,256,6.96,145.00,0.02,28900,"[35,66,28,54,100,23,100,81,23,28,66,100]",2025-12-30,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos",navigational,Organic
centro termolúdico de caldea,1,1,260,27,1.01,https://www.caldea.com/,208,5.65,210.00,0.03,23100,"[66,35,66,28,54,100,23,100,23,8,11,66]",2025-12-15,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
centro caldea,1,1,320,30,1.01,https://www.caldea.com/en/,79,2.14,79.00,0.03,249000,"[66,35,66,28,54,100,0,100,81,23,28,66]",2025-12-15,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches","informational, transactional",Organic
what does spa stand for,1,1,590,32,0.00,https://www.caldea.com/blog/origin-word-spa/?lang=en,73,1.98,0.00,0,200000000,"[81,66,66,81,81,66,66,100,81,100,66,66]",2026-01-26,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",informational,People also ask
spa andorre caldea,1,1,90,42,0.57,https://www.caldea.com/en/,72,1.95,41.00,0.02,207000,"[0,0,0,0,0,0,100,81,0,0,0,0]",2025-12-23,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches","informational, transactional",Organic
