Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
caldea,1,1,9900,29,0.25,https://www.caldea.com/fr/,7920,20.72,1980.00,0.29,1030000,"[81,81,66,54,44,36,29,54,54,44,54,54]",2026-02-01,"Knowledge panel, Sitelinks, Video, Image, Ads top, Ads bottom, People also ask, Related searches, Short videos",navigational,Organic
caldea andorre,1,1,5400,55,0.25,https://www.caldea.com/fr/,4320,11.3,1080.00,0.4,261000,"[81,66,81,54,66,23,44,35,100,100,66,81]",2026-01-27,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches, Short videos",navigational,Organic
centro termolúdico de caldea,1,1,4400,27,0.25,https://www.caldea.com/,3520,9.21,880.00,0.4,16900,"[100,100,81,66,54,44,54,0,0,0,0,0]",2026-02-01,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
andorre caldea,1,1,2400,26,0.25,https://www.caldea.com/fr/classic,1920,5.02,480.00,0.4,262000,"[24,100,29,13,29,24,24,7,13,13,29,7]",2026-01-31,"Knowledge panel, Video, Image, Ads bottom, People also ask, Related searches, Short videos","informational, transactional",Organic
caldea spa,1,1,2400,39,0.25,https://www.caldea.com/fr/,1920,5.02,480.00,0.4,526000,"[5,4,81,100,65,65,36,13,100,29,43,81]",2026-01-17,"Knowledge panel, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches","navigational, transactional",Organic
spa caldea,1,1,1900,42,0.24,https://www.caldea.com/fr/,1520,3.97,364.00,0.45,419000,"[100,10,54,54,13,10,3,5,13,8,66,15]",2025-12-22,"Knowledge panel, Sitelinks, Video, Image, Ads top, People also ask, Related searches",navigational,Organic
andorra caldea balneario,1,1,1900,31,0.25,https://www.caldea.com/fr/,1520,3.97,380.00,0.4,28600,"[35,44,29,100,66,81,100,0,0,0,0,0]",2026-01-09,"Knowledge panel, Video, Image, Ads bottom, Related searches",informational,Organic
spa caldea andorre,1,1,1600,,0.25,https://www.caldea.com/fr/,1280,3.35,320.00,0.4,225000,"[54,54,43,8,16,10,4,54,43,100,20,13]",2026-01-31,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches, Short videos",navigational,Organic
centro termoludico andorra,1,1,4400,15,0.25,https://www.caldea.com/fr/,1091,2.85,272.00,0.4,16200,"[12,16,10,36,24,0,0,1,29,44,100,66]",2026-01-28,"Knowledge panel, Video, Image, People also ask, Related searches","informational, transactional",Organic
caldea spa andorre,1,1,1300,32,0.20,https://www.caldea.com/fr/,1040,2.72,208.00,0.36,203000,"[100,81,10,16,54,20,43,16,10,2,5,4]",2025-12-06,"Knowledge panel, Sitelinks, Video, Image, Ads top, Ads bottom, People also ask, Related searches",navigational,Organic
caldea andorra,1,1,1300,49,0.20,https://www.caldea.com/fr/,1040,2.72,208.00,0.36,561000,"[43,16,36,20,54,8,10,3,43,3,81,65]",2025-11-28,"Knowledge panel, Sitelinks, Video, Image, Ads top, People also ask, Related searches",navigational,Organic
caldea spa andorra,1,1,1300,41,0.25,https://www.caldea.com/fr/,1040,2.72,260.00,0.4,363000,"[10,7,15,5,28,15,24,8,8,15,100,8]",2026-01-25,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches, Short videos",navigational,Organic
caldea andorre tarif,1,1,590,29,0.12,https://www.caldea.com/fr/entrees,472,1.23,56.00,0.28,3980,"[62,62,62,36,45,30,30,30,20,20,36,45]",2025-12-21,"People also ask, Related searches",transactional,Organic
andorre spa caldea,1,1,590,38,0.25,https://www.caldea.com/fr/,472,1.23,118.00,0.4,242000,"[13,53,5,5,8,13,24,10,2,1,3,0]",2026-02-03,"Knowledge panel, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches, Short videos",navigational,Organic
spa andorre,1,1,1600,20,0.22,https://www.caldea.com/fr/,396,1.03,87.00,0.51,1760000,"[44,35,35,29,24,24,16,16,24,44,29,35]",2025-12-31,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
andorre la vieille caldea,1,1,480,35,0.27,https://www.caldea.com/fr/,384,1,103.00,0.46,29200,"[67,67,54,44,44,36,23,54,67,67,81,44]",2026-01-30,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches, Short videos",navigational,Organic
andorre spa,1,1,1300,17,0.22,https://www.caldea.com/fr/,322,0.84,70.00,0.51,1710000,"[29,35,13,18,18,13,16,16,24,29,24,29]",2025-12-25,"Sitelinks, Video, Image, Hotels Pack, People also ask, Related searches",transactional,Organic
caldea andorre la vieille,1,1,390,22,0.27,https://www.caldea.com/fr/,312,0.81,84.00,0.46,38800,"[59,39,48,11,39,26,14,11,48,88,72,59]",2026-02-03,"Knowledge panel, Sitelinks, Video, Ads bottom, People also ask, Related searches, Short videos",navigational,Organic
tarif caldea andorre,1,1,390,22,0.20,https://www.caldea.com/fr/entrees,312,0.81,62.00,0.35,7940,"[48,59,32,32,59,32,21,48,39,39,26,39]",2026-02-02,"People also ask, Related searches","navigational, transactional",Organic
caldea en andorra,1,1,320,31,0.20,https://www.caldea.com/fr/,256,0.67,51.00,0.36,605000,"[66,66,100,66,100,82,53,53,53,82,66,100]",2025-12-19,"Knowledge panel, Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos",navigational,Organic
spa andorre,1,1,1600,20,0.22,http://www.caldea.com/,211,0.55,46.00,0.51,1760000,"[44,35,35,29,24,24,16,16,24,44,29,35]",2025-12-31,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Local pack
caldéa andorre la vieille,1,1,260,22,0.27,https://www.caldea.com/fr/,208,0.54,56.00,0.46,26100,"[48,59,32,21,3,17,17,26,26,48,39,1]",2026-01-05,"Knowledge panel, Sitelinks, Video, Image, Ads top, Ads bottom, People also ask, Related searches",navigational,Organic
caldea hotel,1,1,210,19,0.39,https://www.caldea.com/fr/offre-hotel-andorre,168,0.43,65.00,0.66,602000,"[23,15,19,29,23,36,19,23,29,19,36,36]",2026-01-25,"Video, Image, Hotels Pack, Related searches, See results about","informational, transactional",Organic
andorre thermes,1,1,210,19,0.25,https://www.caldea.com/fr/classic,168,0.43,42.00,0.31,580000,"[53,66,53,43,43,35,28,53,53,53,66,53]",2026-01-27,"Knowledge panel, Video, Image, Video Carousel, People also ask, Related searches",commercial,Organic
caldea andorre,2,2,5400,55,0.25,https://www.caldea.com/,140,0.36,35.00,0.4,261000,"[81,66,81,54,66,23,44,35,100,100,66,81]",2026-01-27,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches, Short videos",navigational,Organic
thermes andorre,1,1,170,22,0.27,https://www.caldea.com/fr/classic,136,0.35,36.00,0.29,497000,"[53,53,65,81,65,53,43,43,34,34,65,81]",2025-12-07,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
spa caldea andorra,1,1,170,,0.25,https://www.caldea.com/fr/,136,0.35,34.00,0.4,494000,"[7,5,100,2,19,1,0,36,23,7,15,23]",2026-01-28,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches, Short videos",navigational,Organic
