Domain Authority Score,Page Authority Score,Source URL,Source Page Title,Source Domain,Target URL,Anchor,Anchor Type,Link Type,No Follow,Toxic Score,First Seen,Last Seen,Comment
0,0,https://zh-tw.biography98.com/social/315305,Backlinks for caldea.com,zh-tw.biography98.com,https://caldea.com/,Backlinks for caldea.com,compound,a,false,100,2025-11-13,2025-11-13,
4,0,http://advertise2.com/the_worlds_most_visited_web_pages_447/,The Globe - The world's most visited web pages,advertise2.com,http://www.caldea.com/,447713. caldea.com,compound,a,false,100,2024-03-15,2026-02-03,
0,0,https://ur.biography98.com/social/315305,Backlinks for caldea.com,ur.biography98.com,https://caldea.com/,Backlinks for caldea.com,compound,a,false,100,2025-11-14,2025-11-14,
0,0,https://sk.webleon.net/social/315305,Backlinks for caldea.com,sk.webleon.net,https://caldea.com/,Backlinks for caldea.com,compound,a,false,100,2025-10-28,2025-10-28,
4,0,http://www.advertise2.com/the_worlds_most_visited_web_pages_447.html,The Globe - The world's most visited web pages,www.advertise2.com,http://www.caldea.com/,447713. caldea.com,compound,a,false,100,2026-01-12,2026-02-03,
0,0,https://cs.ladys-world.net/social/315305,Backlinks for caldea.com,cs.ladys-world.net,https://caldea.com/,Backlinks for caldea.com,compound,a,false,100,2025-11-19,2025-11-19,
0,0,https://ka.nkmsite.com/social/315305,Backlinks for caldea.com,ka.nkmsite.com,https://caldea.com/,Backlinks for caldea.com,compound,a,false,100,2025-11-21,2025-11-21,
0,0,https://hi.ladys-world.net/social/315305,Backlinks for caldea.com,hi.ladys-world.net,https://caldea.com/,Backlinks for caldea.com,compound,a,false,100,2025-11-16,2025-11-16,
0,0,https://sq.nkmsite.com/social/315305,Backlinks for caldea.com,sq.nkmsite.com,https://caldea.com/,Backlinks for caldea.com,compound,a,false,100,2025-11-11,2025-11-11,
0,0,https://hy.grteab.com/social/315305,Backlinks for caldea.com,hy.grteab.com,https://caldea.com/,Backlinks for caldea.com,compound,a,false,100,2025-11-01,2025-11-01,
0,0,https://mt.webleon.net/social/315305,Backlinks for caldea.com,mt.webleon.net,https://caldea.com/,Backlinks for caldea.com,compound,a,false,100,2025-11-21,2025-11-21,
0,0,https://sl.saferedirrect.com/social/315305,Backlinks for caldea.com,sl.saferedirrect.com,https://caldea.com/,Backlinks for caldea.com,compound,a,false,100,2025-11-12,2025-11-12,
0,0,https://ja.ladys-world.net/social/315305,Backlinks for caldea.com,ja.ladys-world.net,https://caldea.com/,Backlinks for caldea.com,compound,a,false,100,2025-11-18,2025-11-18,
0,0,https://pa.saferedirrect.com/social/315305,Backlinks for caldea.com,pa.saferedirrect.com,https://caldea.com/,Backlinks for caldea.com,compound,a,false,100,2025-11-19,2025-11-19,
0,0,https://sl.ladys-world.net/social/315305,Backlinks for caldea.com,sl.ladys-world.net,https://caldea.com/,Backlinks for caldea.com,compound,a,false,100,2025-11-20,2025-11-20,
0,0,https://is.grteab.com/social/315305,Backlinks for caldea.com,is.grteab.com,https://caldea.com/,Backlinks for caldea.com,compound,a,false,100,2025-11-11,2025-11-11,
0,0,https://pt.grteab.com/social/315305,Backlinks for caldea.com,pt.grteab.com,https://caldea.com/,Backlinks for caldea.com,compound,a,false,100,2025-10-31,2025-10-31,
0,0,https://sw.grteab.com/social/315305,Backlinks for caldea.com,sw.grteab.com,https://caldea.com/,Backlinks for caldea.com,compound,a,false,100,2025-11-10,2025-11-10,
